       1     0,00000000000       0,00000000000       0,00000000000    true
       2     0,00000000000      0,500000000000E-01   0,00000000000    true
       3    0,200000000000E-01  0,500000000000E-01   0,00000000000    
       4    0,400000000000E-01  0,500000000000E-01   0,00000000000    
       5    0,500000000000E-01  0,400000000000E-01   0,00000000000    
       6    0,600000000000E-01  0,500000000000E-01   0,00000000000    
       7    0,200000000000E-01  0,300000000000E-01   0,00000000000    
       8    0,250000000000E-01  0,300000000000E-01   0,00000000000    
       9    0,700000000000E-01  0,500000000000E-01   0,00000000000    
      10    0,800000000000E-01  0,400000000000E-01   0,00000000000    
      11    0,900000000000E-01  0,500000000000E-01   0,00000000000    
      12    0,250000000000E-01  0,500000000000E-01   0,00000000000    
      13    0,300000000000E-01  0,500000000000E-01   0,00000000000    
      14    0,310000000000E-01  0,500000000000E-01   0,00000000000    
      15    0,100000000000      0,500000000000E-01   0,00000000000    
      16    0,100000000000       0,00000000000       0,00000000000    
      17     0,00000000000      0,406313016024E-02   0,00000000000    true
      18     0,00000000000      0,812626032047E-02   0,00000000000    true
      19     0,00000000000      0,122877814792E-01   0,00000000000    true
      20     0,00000000000      0,168788851874E-01   0,00000000000    true
      21     0,00000000000      0,210455518541E-01   0,00000000000    true
      22     0,00000000000      0,252122185208E-01   0,00000000000    true
      23     0,00000000000      0,293788851875E-01   0,00000000000    true
      24     0,00000000000      0,335455518541E-01   0,00000000000    true
      25     0,00000000000      0,377122185208E-01   0,00000000000    true
      26     0,00000000000      0,418737396795E-01   0,00000000000    true
      27     0,00000000000      0,459368698398E-01   0,00000000000    true
      28    0,406313016024E-02  0,500000000000E-01   0,00000000000    
      29    0,770585019651E-02  0,500000000000E-01   0,00000000000    
      30    0,118737396795E-01  0,500000000000E-01   0,00000000000    
      31    0,159368698398E-01  0,500000000000E-01   0,00000000000    
      32    0,403943679915E-01  0,472193824934E-01   0,00000000000    
      33    0,410415670545E-01  0,455562989344E-01   0,00000000000    
      34    0,419493063734E-01  0,440681931816E-01   0,00000000000    
      35    0,431016619443E-01  0,427603223781E-01   0,00000000000    
      36    0,444636200262E-01  0,416724255161E-01   0,00000000000    
      37    0,460659760649E-01  0,408063361124E-01   0,00000000000    
      38    0,479246254814E-01  0,402177292714E-01   0,00000000000    
      39    0,527806175066E-01  0,403943679915E-01   0,00000000000    
      40    0,544437010656E-01  0,410415670545E-01   0,00000000000    
      41    0,559318068185E-01  0,419493063734E-01   0,00000000000    
      42    0,572396776219E-01  0,431016619443E-01   0,00000000000    
      43    0,583275744839E-01  0,444636200261E-01   0,00000000000    
      44    0,591936638876E-01  0,460659760649E-01   0,00000000000    
      45    0,597822707286E-01  0,479246254814E-01   0,00000000000    
      46    0,200000000000E-01  0,460946952404E-01   0,00000000000    
      47    0,200000000000E-01  0,421893904807E-01   0,00000000000    
      48    0,200000000000E-01  0,381262603205E-01   0,00000000000    
      49    0,200000000000E-01  0,340631301602E-01   0,00000000000    
      50    0,703943679915E-01  0,472193824934E-01   0,00000000000    
      51    0,710415670545E-01  0,455562989344E-01   0,00000000000    
      52    0,719493063734E-01  0,440681931816E-01   0,00000000000    
      53    0,731016619443E-01  0,427603223781E-01   0,00000000000    
      54    0,744636200261E-01  0,416724255161E-01   0,00000000000    
      55    0,760659760649E-01  0,408063361124E-01   0,00000000000    
      56    0,779246254814E-01  0,402177292714E-01   0,00000000000    
      57    0,827806175066E-01  0,403943679915E-01   0,00000000000    
      58    0,844437010656E-01  0,410415670545E-01   0,00000000000    
      59    0,859318068185E-01  0,419493063734E-01   0,00000000000    
      60    0,872396776219E-01  0,431016619443E-01   0,00000000000    
      61    0,883275744839E-01  0,444636200262E-01   0,00000000000    
      62    0,891936638876E-01  0,460659760649E-01   0,00000000000    
      63    0,897822707286E-01  0,479246254814E-01   0,00000000000    
      64    0,250000000000E-01  0,350560023464E-01   0,00000000000    
      65    0,250000000000E-01  0,391188066970E-01   0,00000000000    
      66    0,250000000000E-01  0,431626795954E-01   0,00000000000    
      67    0,250000000000E-01  0,469231174353E-01   0,00000000000    
      68    0,276700018554E-01  0,500000000000E-01   0,00000000000    
      69    0,290000000000E-01  0,500000000000E-01   0,00000000000    
      70    0,320000000000E-01  0,500000000000E-01   0,00000000000    
      71    0,335000000000E-01  0,500000000000E-01   0,00000000000    
      72    0,357500000000E-01  0,500000000000E-01   0,00000000000    
      73    0,629317302521E-01  0,500000000000E-01   0,00000000000    
      74    0,667499123836E-01  0,500000000000E-01   0,00000000000    
      75    0,929317302521E-01  0,500000000000E-01   0,00000000000    
      76    0,961979147433E-01  0,500000000000E-01   0,00000000000    
      77    0,100000000000      0,459368698398E-01   0,00000000000    
      78    0,100000000000      0,418737396795E-01   0,00000000000    
      79    0,100000000000      0,377122185208E-01   0,00000000000    
      80    0,100000000000      0,331211148125E-01   0,00000000000    
      81    0,100000000000      0,289544481459E-01   0,00000000000    
      82    0,100000000000      0,247877814792E-01   0,00000000000    
      83    0,100000000000      0,206211148125E-01   0,00000000000    
      84    0,100000000000      0,164544481459E-01   0,00000000000    
      85    0,100000000000      0,122877814792E-01   0,00000000000    
      86    0,100000000000      0,812626032047E-02   0,00000000000    
      87    0,100000000000      0,406313016024E-02   0,00000000000    
      88    0,959368698398E-01   0,00000000000       0,00000000000    
      89    0,918737396795E-01   0,00000000000       0,00000000000    
      90    0,877122185208E-01   0,00000000000       0,00000000000    
      91    0,831211148125E-01   0,00000000000       0,00000000000    
      92    0,789544481459E-01   0,00000000000       0,00000000000    
      93    0,747877814792E-01   0,00000000000       0,00000000000    
      94    0,706211148125E-01   0,00000000000       0,00000000000    
      95    0,664544481459E-01   0,00000000000       0,00000000000    
      96    0,622877814792E-01   0,00000000000       0,00000000000    
