
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

     107     5.82123333753       9.91251691629       0.00000000000    
     108     5.45585170266       10.6389758513       0.00000000000    
     109     5.06435472106       11.3654229386       0.00000000000    
     110     4.71728770877       11.9979387319       0.00000000000    
     111     3.60881049777       12.6420289518       0.00000000000    
     112     2.69169295776       12.7019901976       0.00000000000    
     113     2.68737095838       13.6537048208       0.00000000000    
     114     2.70209173696       14.4880102571       0.00000000000    
     115     2.70233863491       15.3930781443       0.00000000000    
     116     2.66076419173       16.2706288503       0.00000000000    
     117     2.55673882027       17.0043152099       0.00000000000    
     118     10.7685535338       16.8167960221       0.00000000000    
     119     9.67276945191       12.6296092377       0.00000000000    
     120     7.45685800261       8.61922022185       0.00000000000    

   NODE        X                   Y                   Z
     121     6.55972030374       8.61820017994       0.00000000000    
     122     4.34699449880       12.6368719629       0.00000000000    
     123     3.23020588423       16.7742763729       0.00000000000    
     124     3.98895302056       16.6878883526       0.00000000000    
     125     4.76878465542       16.6853496408       0.00000000000    
     126     5.50587367952       16.7016845864       0.00000000000    
     127     6.21880826995       16.7198737297       0.00000000000    
     128     6.93679558433       16.7194384958       0.00000000000    
     129     7.65930858514       16.7169575194       0.00000000000    
     130     8.40446898801       16.7181347895       0.00000000000    
     131     9.17624604769       16.7175645275       0.00000000000    
     132     9.98366666647       16.7269142619       0.00000000000    
     133     10.5044273720       15.9748009409       0.00000000000    
     134     10.6394435391       15.0495099174       0.00000000000    
     135     10.5218795291       14.0622190790       0.00000000000    
     136     10.7093663618       13.2755028042       0.00000000000    
     137     10.0533837468       13.2935529733       0.00000000000    
     138     8.95824300988       12.6189939675       0.00000000000    
     139     8.59366741678       11.9755145499       0.00000000000    
     140     8.22170064558       11.3173817174       0.00000000000    

   NODE        X                   Y                   Z
     141     7.82880226055       10.6323376300       0.00000000000    
     142     7.42715693377       9.93264079938       0.00000000000    
     143     7.01508937328       9.26062671092       0.00000000000    
     144     6.61779915037       9.92200612599       0.00000000000    
     145     6.23662694625       10.6040910023       0.00000000000    
     146     5.84863200456       11.2916613847       0.00000000000    
     147     5.46661470126       11.9688101510       0.00000000000    
     148     5.08556378038       12.6229261340       0.00000000000    
     149     3.97028516598       13.2818418471       0.00000000000    
     150     3.28743448030       13.2544060462       0.00000000000    
     151     3.46326124819       14.0092243239       0.00000000000    
     152     3.32759642637       14.9309052340       0.00000000000    
     153     3.48831686773       15.8912077966       0.00000000000    
     154     9.33748014391       13.2721944779       0.00000000000    
     155     5.85111029283       12.6122379128       0.00000000000    
     156     4.70001983988       13.2764961125       0.00000000000    
     157     4.40247999766       15.9660894225       0.00000000000    
     158     5.17561198583       16.0169906712       0.00000000000    
     159     5.86777611563       16.0617878217       0.00000000000    
     160     6.58335229352       16.0907555152       0.00000000000    

   NODE        X                   Y                   Z
     161     7.29557386499       16.0677202570       0.00000000000    
     162     8.03123088885       16.0595346393       0.00000000000    
     163     8.79713232896       16.0757971915       0.00000000000    
     164     9.59892936016       16.0571356786       0.00000000000    
     165     9.89703719746       15.3564464620       0.00000000000    
     166     9.95024842203       14.6349598376       0.00000000000    
     167     9.70556828127       13.9151630697       0.00000000000    
     168     8.61815488119       13.2754221990       0.00000000000    
     169     8.22027953627       12.6142550565       0.00000000000    
     170     7.82857910558       11.9534707588       0.00000000000    
     171     7.43368911936       11.2838551678       0.00000000000    
     172     7.03125819697       10.6073538832       0.00000000000    
     173     6.64347477152       11.2691925738       0.00000000000    
     174     6.25447685885       11.9490602146       0.00000000000    
     175     5.45796023569       13.2833068618       0.00000000000    
     176     4.29889792422       13.9280065100       0.00000000000    
